Smiles,AlogP,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
FC(F)(F)Oc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,6.05,17.56,0.35,1.34,10.25
COc1ccc(C2CC(c3ccc(F)cc3)=NN2C2=NC(=O)CS2)cc1,3.61,13.28,0.26,1.3,9.04
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,6.45,10.96,0.25,-1.89,16.86
COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N1CCOCC1,4.87,8.76,0.17,-0.4,4.49
CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,4.88,16.81,0.34,2.42,10.41
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,1.31,18.04,0.34,4.14,3.86
O=C(CCCC(=O)Oc1ccc(/C=C/[N+](=O)[O-])cc1)Oc1ccccc1,3.62,15.07,0.28,1.74,5.59
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1cccs1,2.95,16.42,0.32,1.51,5.48
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccccc1Cl,3.54,16.42,0.32,1.38,6.05
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNC2CC2)cc1,7.32,13.72,0.26,-0.25,11.96
c1ccc(Cc2nc3cc(Nc4ncnc5nn6ccccc6c45)ccc3[nH]2)cc1,4.49,14.82,0.26,1.31,6.92
Clc1cc(Nc2ncnc3cccc(OC4CCOCC4)c23)ccc1OCc1ccccn1,5.56,16.46,0.32,2.06,9.72
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N5CCOCC5)c34)cc2C)cn1,4.8,15.33,0.28,2.86,7.76
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(OCC(=O)N(C)CCO)c34)cc2C)cn1,4.01,14.54,0.27,2.88,6.28
C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N1CCOCC1,4.63,14.85,0.29,3.09,7.82
